Reading ID, Time (µs), Force (N) 
964,5663878,0
965,5666927,0
966,5669976,0
967,5673026,-1
968,5677508,0
969,5680506,0
970,5683507,0
971,5685222,0
972,5688270,0
973,5691319,0
974,5694371,0
975,5697418,0
976,5700467,0
977,5703523,0
978,5706566,0
979,5709614,0
980,5712663,0
981,5715712,0
982,5718761,0
983,5721810,0
984,5726509,0
985,5729509,0
986,5730957,0
987,5734009,0
988,5737056,0
989,5740104,0
990,5743153,0
991,5746202,0
992,5749252,0
993,5752301,0
994,5755350,0
995,5758399,0
996,5761448,0
997,5764504,0
998,5767547,0
999,5770595,0
1000,5775508,0
1001,5778506,0
1002,5781508,0
1003,5782791,0
1004,5785841,0
1005,5788890,0
1006,5791939,0
1007,5794988,0
1008,5798037,0
1009,5801086,0
1010,5804135,0
1011,5807184,0
1012,5810234,0
1013,5813283,0
1014,5816332,0
1015,5819382,0
1016,5823511,0
1017,5826507,0
1018,5828534,0
1019,5831578,0
1020,5834627,0
1021,5837676,0
1022,5840725,0
1023,5843776,0
1024,5846823,0
1025,5849872,0
1026,5852921,0
1027,5855970,0
1028,5859020,0
1029,5862069,0
1030,5865118,0
1031,5868167,0
1032,5872508,0
1033,5875509,0
1034,5877314,0
1035,5880363,0
1036,5883412,0
1037,5886463,0
1038,5889517,0
1039,5892560,0
1040,5895609,0
1041,5898658,0
1042,5901707,0
1043,5904756,0
1044,5907806,0
1045,5910855,0
1046,5913904,0
1047,5916953,0
1048,5920509,0
1049,5923509,0
1050,5926506,0
1051,5929506,0
1052,5932199,0
1053,5935247,0
1054,5938297,0
1055,5941346,0
1056,5944395,0
1057,5947444,0
1058,5950493,0
1059,5953542,0
1060,5956591,0
1061,5959640,0
1062,5962690,0
1063,5965739,0
1064,5970509,0
1065,5973509,0
1066,5974887,0
1067,5977936,0
1068,5980986,0
1069,5984035,0
1070,5987084,0
1071,5990133,0
1072,5993182,0
1073,5996232,0
1074,5999281,0
1075,6002331,0
1076,6005380,0
1077,6008429,0
1078,6011478,0
1079,6014533,0
1080,6019508,0
1081,6022509,0
1082,6025507,0
1083,6026834,0
1084,6029774,0
1085,6032823,0
1086,6035873,0
1087,6038921,0
1088,6041970,0
1089,6045020,0
1090,6048069,0
1091,6051118,0
1092,6054167,0
1093,6057216,0
1094,6060265,0
1095,6063314,0
1096,6067509,0
1097,6070509,0
1098,6072461,0
1099,6075517,0
1100,6078561,0
1101,6081609,0
1102,6084658,0
1103,6087707,0
1104,6090756,0
1105,6093805,0
1106,6096855,0
1107,6099904,0
1108,6102953,0
1109,6106002,0
1110,6109050,0
1111,6112099,0
1112,6116508,0
1113,6119509,0
1114,6122507,0
1115,6124297,0
1116,6127345,0
1117,6130395,0
1118,6133443,0
1119,6136493,0
1120,6139542,0
1121,6142592,0
1122,6145640,0
1123,6148689,0
1124,6151738,0
1125,6154788,0
1126,6157837,0
1127,6160886,0
1128,6165511,0
1129,6168507,0
1130,6170034,0
1131,6173082,0
1132,6176132,0
1133,6179181,0
1134,6182230,0
1135,6185281,0
1136,6188329,0
1137,6191378,0
1138,6194427,0
1139,6197476,0
1140,6200532,0
1141,6203575,0
1142,6206624,0
1143,6209673,0
1144,6214508,0
1145,6217510,0
1146,6220507,0
1147,6221871,0
1148,6224919,0
1149,6227969,0
1150,6231018,0
1151,6234067,0
1152,6237116,0
1153,6240165,0
1154,6243215,0
1155,6246264,0
1156,6249313,0
1157,6252362,0
1158,6255412,0
1159,6258461,0
1160,6263509,0
1161,6266509,0
1162,6267673,0
1163,6270659,0
1164,6273707,0
1165,6276756,0
1166,6279805,0
1167,6282855,0
1168,6285904,0
1169,6288953,0
1170,6292003,0
1171,6295052,0
1172,6298101,0
1173,6301150,0
1174,6304198,0
1175,6307247,0
1176,6311508,0
1177,6314506,0
1178,6317507,0
1179,6319444,0
1180,6322493,0
1181,6325542,0
1182,6328591,0
1183,6331641,0
1184,6334691,0
1185,6337739,0
1186,6340788,0
1187,6343837,0
1188,6346886,0
1189,6349935,0
1190,6352984,0
1191,6356034,0
1192,6360509,0
1193,6363509,0
1194,6365181,0
1195,6368230,0
1196,6371279,0
1197,6374329,0
1198,6377379,0
1199,6380427,0
1200,6383476,0
1201,6386532,0
1202,6389574,0
1203,6392624,0
1204,6395672,0
1205,6398721,0
1206,6401771,0
1207,6404819,0
1208,6409508,0
1209,6412506,0
1210,6415507,0
1211,6417017,0
1212,6420066,0
1213,6423114,0
1214,6426163,0
1215,6429212,0
1216,6432261,0
1217,6435310,0
1218,6438359,0
1219,6441408,0
1220,6444457,0
1221,6447512,0
1222,6450554,0
1223,6453603,0
1224,6458509,0
1225,6461509,0
1226,6462750,0
1227,6465801,0
1228,6468848,0
1229,6471898,0
1230,6474947,0
1231,6477996,0
1232,6481045,0
1233,6484094,0
1234,6487143,0
1235,6490192,0
1236,6493241,0
1237,6496290,0
1238,6499339,0
1239,6502388,0
1240,6506509,0
1241,6509506,0
1242,6512507,0
1243,6514584,0
1244,6517633,0
1245,6520682,0
1246,6523731,0
1247,6526781,0
1248,6529829,0
1249,6532878,0
1250,6535927,0
1251,6538975,0
1252,6542025,0
1253,6545074,0
1254,6548123,0
1255,6551171,0
1256,6555508,0
1257,6558509,0
1258,6560318,0
1259,6563367,0
1260,6566416,0
1261,6569466,0
1262,6572521,0
1263,6575563,0
1264,6578612,0
1265,6581661,0
1266,6584710,0
1267,6587759,0
1268,6590808,0
1269,6593857,0
1270,6596906,0
1271,6599955,0
1272,6603510,0
1273,6606507,0
1274,6609505,0
1275,6612152,0
1276,6615199,0
1277,6618248,0
1278,6621297,0
1279,6624346,0
1280,6627395,0
1281,6630444,0
1282,6633493,0
1283,6636542,0
1284,6639591,0
1285,6642640,0
1286,6645689,0
1287,6648738,0
1288,6653508,0
1289,6656510,0
1290,6659507,0
1291,6660936,0
1292,6663983,0
1293,6667032,0
1294,6670081,0
1295,6673129,0
1296,6676179,0
1297,6679227,0
1298,6682276,0
1299,6685325,0
1300,6688374,0
1301,6691423,0
1302,6694471,0
1303,6697527,0
1304,6702509,0
1305,6705509,0
1306,6706671,0
1307,6709716,0
1308,6712764,0
1309,6715814,0
1310,6718865,0
1311,6721912,0
1312,6724961,0
1313,6728010,0
1314,6731059,0
1315,6734108,0
1316,6737157,0
1317,6740206,0
1318,6743255,0
1319,6746304,0
1320,6750508,0
1321,6753509,0
1322,6756507,0
1323,6758509,0
1324,6761551,0
1325,6764599,0
1326,6767648,0
1327,6770696,0
1328,6773746,0
1329,6776795,0
1330,6779844,0
1331,6782893,0
1332,6785942,0
1333,6788991,0
1334,6792040,0
1335,6795089,0
1336,6799509,0
1337,6802509,0
1338,6804237,0
1339,6807286,0
1340,6810335,0
1341,6813384,0
1342,6816433,0
1343,6819482,0
1344,6822533,0
1345,6825580,0
1346,6828629,0
1347,6831678,0
1348,6834727,0
1349,6837776,0
1350,6840825,0
1351,6843874,0
1352,6848508,0
1353,6851509,0
1354,6854507,0
1355,6856072,0
1356,6859119,0
1357,6862168,0
1358,6865217,0
1359,6868267,0
1360,6871315,0
1361,6874364,0
1362,6877413,0
1363,6880462,0
1364,6883518,0
1365,6886560,0
1366,6889609,0
1367,6892659,0
1368,6897509,0
1369,6900509,0
1370,6901806,0
1371,6904855,0
1372,6907904,0
1373,6910954,0
1374,6914002,0
1375,6917051,0
1376,6920100,0
1377,6923149,0
1378,6926198,0
1379,6929247,0
1380,6932296,0
1381,6935345,0
1382,6938394,0
1383,6941443,0
1384,6944507,0
1385,6949508,0
1386,6952507,0
1387,6953693,0
1388,6956688,0
1389,6959736,1
1390,6962784,0
1391,6965833,0
1392,6968882,0
1393,6971931,0
1394,6974980,0
1395,6978029,0
1396,6981077,0
1397,6984126,0
1398,6987175,0
1399,6990224,0
1400,6994509,0
1401,6997509,0
1402,6999371,0
1403,7002420,0
1404,7005468,0
